dtype,d_head,seq_len,impl,fwd_ms,bwd_ms,e2e_ms
fp32,32,8192,triton,0.1173131560937303,1.5012737082653358,1.616239725497731
fp32,32,8192,torch,1.308433295907201,2.4507774267441187,3.757286163476797
fp32,32,16384,triton,0.30303053694291854,5.257491562101576,5.5569167137146
fp32,32,16384,torch,4.609532946632022,8.804532397877086,13.404896191188268
fp32,32,32768,triton,1.1509466975568288,20.727344036102295,21.880064010620117
fp32,32,32768,torch,17.98551025390625,34.57524871826172,52.550750732421875
fp32,32,65536,triton,3.703643111082224,79.12655639648438,82.84268951416016
fp32,32,65536,torch,70.1430435180664,134.47987365722656,204.54534912109375
fp32,64,128,triton,0.018780523680233523,0.4974825805233371,0.7762348842458661
fp32,64,128,torch,0.12318558507712088,0.673308380835113,1.0353829115629196
fp32,64,256,triton,0.0199528712371196,0.658922131434619,0.7014611359798547
fp32,64,256,torch,0.12900604898945253,0.7506124843996038,0.7517809578230683
fp32,64,512,triton,0.023246399960103067,0.5455511059555306,0.7769326090812683
fp32,64,512,torch,0.126019182181051,0.7491420684703465,0.9301595993340015
fp32,64,1024,triton,0.03245813033754959,0.5741847280074249,0.7555202847080571
fp32,64,1024,torch,0.12887856646200857,0.713228914752064,0.9697883845794768
fp32,64,2048,triton,0.05509882434996863,0.6378746654838323,0.7919573359417192
fp32,64,2048,torch,0.1382308213215954,0.5930145562020808,0.9455713692464327
fp32,64,4096,triton,0.10107164813654267,0.5568393041258273,0.7541499839764889
fp32,64,4096,torch,0.4165013344199569,0.792257376785936,1.2063544591267903
fp32,64,8192,triton,0.19293183842294223,1.8087408385186825,1.9987853368123372
fp32,64,8192,torch,1.4091016527484446,2.6786139283861434,4.07448798418045
fp32,64,16384,triton,0.7590667968843041,6.327554194132487,7.085567951202393
fp32,64,16384,torch,5.025338976006759,9.609084796905517,14.626176198323568
fp32,64,32768,triton,2.9594986727743438,24.83195161819458,27.786858876546223
fp32,64,32768,torch,19.59781150817871,37.669376373291016,57.271297454833984
fp32,64,65536,triton,11.73166811466217,97.99375915527344,109.72777557373047
fp32,64,65536,torch,77.64701080322266,149.00341796875,226.6092529296875
fp32,128,128,triton,0.019959452370780388,0.653476181641296,0.7059541958219865
fp32,128,128,torch,0.12704811178773015,0.7121438175097279,1.045343041419983
fp32,128,256,triton,0.018665677612081447,0.43155986096775323,0.7800204557708547
fp32,128,256,torch,0.12736792484993784,0.5840888197829084,1.0286800848810296
fp32,128,512,triton,0.024919961039481024,0.5536847771344027,0.6296443052780933
fp32,128,512,torch,0.1268851860781401,0.6902662202235191,0.7619742484319778
fp32,128,1024,triton,0.041500537092252966,0.6306342303020055,0.5377690707604716
fp32,128,1024,torch,0.13084603055165364,0.7033734745100925,1.0687408513493009
fp32,128,2048,triton,0.07576516358128879,0.5838417110552314,0.6426376585311037
fp32,128,2048,torch,0.1561514743727811,0.6874279660626876,0.9475377834873435
fp32,128,4096,triton,0.14437930728707996,0.7118436799640149,0.856134465107551
fp32,128,4096,torch,0.45796638411102875,0.9210337689048366,1.3730880056602368
fp32,128,8192,triton,0.41424133435443594,2.387206548299545,2.797636729699594
fp32,128,8192,torch,1.6414074614896612,3.147319467862447,4.7848393733684835
fp32,128,16384,triton,1.628710510367054,8.996233654022216,10.62187745836046
fp32,128,16384,torch,6.104716002941132,11.7603120803833,17.859442901611327
fp32,128,32768,triton,6.459848562876384,35.48159980773926,41.93584060668945
fp32,128,32768,torch,23.893080234527588,46.24478340148926,70.14102172851562
fp32,128,65536,triton,22.586968421936035,143.20040893554688,165.78665161132812
fp32,128,65536,torch,93.65814208984375,188.0252227783203,279.411865234375
